sample_name,corrected_id,species,region,bio_region,thermal_cluster
HH01,HH01,Hhip,Ant,SS,D
HH02,HH02,Hhip,ARN,SS,F
HH03,HH03,Hhip,ARN,SS,F
HH04,TC30,Tcro,ARN,SS,F
HH05,HH05,Hhip,ARN,SS,F
HH06,HH06,Hhip,Ant,SS,D
HH07,HH07,Hhip,Ant,SS,D
HH08,HH08,Hhip,Boh,VS,D
HH09,HH09,Hhip,Boh,VS,D
HH10,HH10,Hhip,Boh,VS,D
HH11,HH11,Hhip,Cam,VS,D
HH12,HH12,Hhip,Cam,VS,D
HH13,HH13,Hhip,Cam,VS,D
HH14,HH14,Hhip,Sam,SPS,E
HH15,HH15,Hhip,Sam,SPS,E
HH16,HH16,Hhip,Sam,SPS,E
HH17,HH17,Hhip,Bol,WPS,E
HH18,HH18,Hhip,Bol,WPS,E
HH19,HH19,Hhip,Bol,WPS,E
HP01,HP01,Hpor,Ant,SS,D
HP02,HP02,Hpor,Ant,SS,D
HP03,HH20,Hhip,ARN,SS,F
HP04,HP04,Hpor,ARN,SS,F
HP05,HP05,Hpor,Ant,SS,D
TC01,TC01,Tcro,Ant,SS,D
TC02,TC02,Tcro,Ant,SS,D
TC03,TC03,Tcro,Ant,SS,D
TC04,TC04,Tcro,Ant,SS,D
TC05,TC05,Tcro,Ant,SS,D
TC06,TC06,Tcro,ARN,SS,F
TC07,TC07,Tcro,ARN,SS,F
TC08,TC08,Tcro,Zam,WPS,F
TC09,TC09,Tcro,Zam,WPS,F
TC10,TC10,Tcro,Zam,WPS,F
TC11,TC11,Tcro,Zam,WPS,F
TC12,TC12,Tcro,Zam,WPS,F
TC13,TC13,Tcro,Zam,WPS,F
TC14,TC14,Tcro,ARN,SS,F
TC15,TC15,Tcro,ARN,SS,F
TC16,TC16,Tcro,ARN,SS,F
TC17,TC17,Tcro,ARN,SS,F
TC18,TC18,Tcro,Boh,VS,D
TC19,TC19,Tcro,Boh,VS,D
TC20,TC20,Tcro,Boh,VS,D
TC21,TC21,Tcro,Cam,VS,D
TC22,TC22,Tcro,Cam,VS,D
TC23,TC23,Tcro,Cam,VS,D
TC24,TC24,Tcro,Sam,SPS,E
TC25,TC25,Tcro,Sam,SPS,E
TC26,TC26,Tcro,Sam,SPS,E
TC27,TC27,Tcro,Ala,WPS,E
TC28,TC28,Tcro,Ala,WPS,E
TC29,TC29,Tcro,Ala,WPS,E
TD01,TD01,Tder,Ant,SS,D
TD02,TD02,Tder,Ant,SS,D
TD03,TD03,Tder,Ant,SS,D
TD04,TD04,Tder,Bol,WPS,E
TD05,TD05,Tder,Bol,WPS,E
TD06,TD06,Tder,Bol,WPS,E
TD07,TD07,Tder,ARN,SS,F
TD08,TD08,Tder,Pal,SS,F
TD09,TD09,Tder,ARN,SS,F
TD10,TD10,Tder,Cam,VS,D
TD11,TD11,Tder,Cam,VS,D
TD12,TD12,Tder,Cam,VS,D
TD13,TD13,Tder,Sam,SPS,E
TD14,TD14,Tder,Sam,SPS,E
TD15,TD15,Tder,Sam,SPS,E
TD16,TD16,Tder,Bol,WPS,E
TD17,TD17,Tder,Bol,WPS,E
TD18,TD18,Tder,Bol,WPS,E
TG01,TG01,Tgig,Ala,WPS,E
TG02,TG02,Tgig,Ala,WPS,E
TG03,TG03,Tgig,Ala,WPS,E
TG04,TG04,Tgig,Ala,WPS,E
TG05,TG05,Tgig,Bat,WPS,D
TG06,TG06,Tgig,Bat,WPS,D
TG07,TG07,Tgig,Bat,WPS,D
TG08,TG08,Tgig,Zam,WPS,F
