PERMANOVA,,,,,
Species,Df,SumOfSqs,R2,F,Pr(>F)
Model,7,18.655,0.33243,11.169,0.001
Residual,157,37.463,0.66757,,
Total,164,56.118,1,,
,,,,,
Region,Df,SumOfSqs,R2,F,Pr(>F)
Model,10,14.095,0.25116,5.1651,0.001
Residual,154,42.023,0.74884,,
Total,164,56.118,1,,
,,,,,
Biogeography,Df,SumOfSqs,R2,F,Pr(>F)
Model,4,6.965,0.12411,5.6681,0.001
Residual,160,49.153,0.87589,,
Total,164,56.118,1,,
,,,,,
Thermal,Df,SumOfSqs,R2,F,Pr(>F)
Model,2,5.009,0.08925,7.9378,0.001
Residual,162,51.109,0.91075,,
Total,164,56.118,1,,
