pair,jack,species
TS31-C93a-1471-1391,0.11363765209024201,TS
TS30-C93a-1471-1391,0.11363765209024024,TS
TS33-C93a-1471-1391,0.11363750208671952,TS
TS26-C93a-1471-1391,0.1129068189824114,TS
TC08-C93a-1471-1391,0.11004171085151704,TC
TC27-C93a-1471-1391,0.11367150878729326,TC
HH07-C93a-1471-1391,0.13562398596407732,HH
HH01-C93a-1471-1391,0.13918880851211313,HH
HP01-C93a-1471-1391,0.19331008659248639,HP
HP02-C93a-1471-1391,0.19331008659248639,HP
HP05-C93a-1471-1391,0.19331004445576738,HP
TG51-C93a-1471-1391,0.14267125198217556,TG
TD12-C93a-1373,0.08439839328708665,TD
TD10-C93a-1373,0.08439829497052465,TD
TD20-C93a-1373,0.08686907969716096,TD
TD19-C93a-1373,0.08783743908628772,TD
HH06-C93a-1373,0.14295447319514842,HH
TS32-C93a/C66-1385_C,0.12450153076518156,TS
HH11-C93a/C66-1385_C,0.14598389409815482,HH
HH17-C93a/C66-1385_C,0.14612197720148679,HH
HH18-C93a/C66-1385_C,0.14612197720148679,HH
HH19-C93a/C66-1385_C,0.14670626311689183,HH
TG55-C93a/C66-1385_C,0.11628824362236578,TG
TG60-C93a/C66-1385_C,0.11628824362236401,TG
TG54-C93a/C66-1385_C,0.11628824362236756,TG
TG61-C93a/C66-1385_C,0.11628824362236756,TG
TS08-C93a-1385,0.11277544559734665,TS
TC25-C93a-1385,0.10536538729880185,TC
TC20-C93a-1385,0.10701409964561748,TC
TC26-C93a-1385,0.10828141033593752,TC
TM24-C93a/C1-C1c,0.07705932446929964,TM
TM06-C93a/C1-C1c,0.0795245329137515,TM
TM14-C93a/C1-C1c,0.07817648296787993,TM
TM25-C93a/C1-C1c,0.07824906629197326,TM
HH02-C93a/C1-C1c,0.13971034135186855,HH
HH20-C93a/C1-C1c,0.38296612420244713,HH
TS23-C93a-1390-1391,0.1127487039006212,TS
TS21-C93a-1390-1391,0.11274853222223413,TS
TC10-C93a-1390-1391,0.1115825909738355,TC
TN15-C93a-1390-1391,0.11976150900884974,TN
TN16-C93a-1390-1391,0.11887690364599202,TN
TG40-C93a-1390-1391,0.13899879000633142,TG
TG35-C93a-1390-1391,0.13899879000633497,TG
TG37-C93a-1390-1391,0.13899879000633497,TG
TG58-C93a-1390-1391,0.14270463407217804,TG
TG43-C93a-1390-1391,0.14270463407217981,TG
TG57-C93a-1390-1391,0.1427045502583546,TG
TS34-C93a/C66-1471_C,0.12470327233440592,TS
TC30-C93a/C66-1471_C,0.11727749112240815,TC
TC16-C93a/C66-1471_C,0.11973656058096971,TC
TG38-C93a/C66-1471_C,0.10860406545256751,TG
TG44-C93a/C66-1471_C,0.10860406545256929,TG
TG39-C93a/C66-1471_C,0.10860406545256751,TG
TG52-C93a/C66-1471_C,0.10860406545256751,TG
TG53-C93a/C66-1471_C,0.10860406545256751,TG
TG56-C93a/C66-1471_C,0.10860406545256751,TG
TG46-C93a/C66-1471_C,0.10860406545256751,TG
TG45-C93a/C66-1471_C,0.10860406545256751,TG
TG36-C93a/C66-1471_C,0.10860453598500719,TG
TS27-C93a-1375,0.11205186808594547,TS
TC24-C93a-1375,0.11131055332171513,TC
TD14-C93a-1375,0.0863594875269893,TD
TD16-C93a-1375,0.08635932832276616,TD
TD11-C93a-1375,0.08749373931057036,TD
TG66-C93a-1375,0.13997988800640293,TG
TG67-C93a-1375,0.144311567716505,TG
TS35-C66/C93a,0.12283257877165887,TS
TN09-C66/C93a,0.11543016569920894,TN
TN10-C66/C93a,0.11543016569921072,TN
TD08-C66/C93a,0.1229336167040227,TD
HH12-C66/C93a,0.15933486455436707,HH
HP04-C66/C93a,0.22837350267256795,HP
TG42-C66/C93a,0.11863194470068805,TG
TG59-C66/C93a,0.11863194470068805,TG
TM15-C93a-1388-1375,0.10063564435902883,TM
TM11-C93a-1388-1375,0.1006348397038721,TM
TS11-C93a-1388-1375,0.10326142923597992,TS
TS12-C93a-1388-1375,0.10326142923597992,TS
TS14-C93a-1388-1375,0.10326142923597992,TS
TS28-C93a-1388-1375,0.10405335601024568,TS
TN11-C93a-1388-1375,0.1221060277484245,TN
TS29-C93a,0.11351755811882569,TS
TN14-C93a,0.11053587238594176,TN
TD15-C93a,0.08932188406655861,TD
TD18-C93a,0.08932188406655861,TD
TD17-C93a,0.08932188406656039,TD
TD13-C93a,0.08773210246128649,TD
HH15-C93a,0.14295151758997804,HH
HH16-C93a,0.14295151758997804,HH
HH14-C93a,0.14295151758997626,HH
TC21-C1c-C1-C1b,0.0838758544907785,TC
TM21-C1-C1c-C1b-C1al,0.05543257503249954,TM
TM12-C1-C1c-C1b-C1al,0.05578969692458724,TM
TM13-C1-C1c-C1b-C1al,0.05578969692458813,TM
TM23-C1-C1c-C1b-C1al,0.05578969692458813,TM
TM07-C1-C1c-C1b-C1al,0.05578969692458813,TM
TM22-C1-C1c-C1b-C1al,0.05578969692458813,TM
TM01-C1-C1c-C1b-C1al,0.05578969692458813,TM
TM02-C1-C1c-C1b-C1al,0.05678592449930253,TM
TM03-C1-C1c-C1b-C1al,0.056746438828940704,TM
TM05-C1-C1c-C1b-C1al,0.0588425510194126,TM
TM28-C1-C1c-C1b-C1al,0.057696172758667785,TM
TM08-C1-C1c-C1b-C1al,0.06253976648037796,TM
TM20-C1-C1c-C1b-C1al,0.05777661864970707,TM
TM16-C1-C1c-C1b-C1al,0.05678749567289465,TM
TM26-C1-C1c-C1b-C1al,0.057713563373551935,TM
TM09-C1-C1c-C1b-C1al,0.06495911833246026,TM
TM04-C1-C1c-C1b-C1al,0.05678456360769513,TM
TM27-C1-C1c-C1b-C1al,0.05578947788728161,TM
TM10-C1-C1c-C1b-C1al,0.0647304114888847,TM
TS07-C1-C1c-C1b-C1al,0.10470573300086805,TS
TC29-C1-C1c-C1b-C1al,0.08944560515305966,TC
TC06-C1-C1c-C1b-C1al,0.09181609460820894,TC
TC15-C1-C1c-C1b-C1al,0.0886560898636457,TC
TC07-C1-C1c-C1b-C1al,0.0901539613434057,TC
TC28-C1-C1c-C1b-C1al,0.09015396134340392,TC
TC19-C1-C1c-C1b-C1al,0.09091822491605939,TC
TC22-C1-C1c-C1b-C1al,0.09014632496496588,TC
TC14-C1-C1c-C1b-C1al,0.09101296851917695,TC
TC17-C1-C1c-C1b-C1al,0.09019064557686463,TC
TN06-C1-C1c-C1b-C1al,0.10578238182844402,TN
TN05-C1-C1c-C1b-C1al,0.10578238182844402,TN
TD08-C1-C1c-C1b-C1al,0.11979255936513944,TD
HH12-C1-C1c-C1b-C1al,0.16753177720447354,HH
HH11-C1-C1c-C1b-C1al,0.16723547268757244,HH
HH13-C1-C1c-C1b-C1al,0.16736656580368603,HH
HH03-C1-C1c-C1b-C1al,0.16801415075580906,HH
HH05-C1-C1c-C1b-C1al,0.16944320533901802,HH
TG64-C1-C1c-C1b-C1al,0.16507108696877637,TG
TG62-C1-C1c-C1b-C1al,0.16506198818521511,TG
TM17-C1/C66-C1c,0.07549617606361458,TM
TM19-C1/C66-C1c,0.07549503790619738,TM
TC18-C1/C66-C1c,0.10428153254208006,TC
TC23-C1/C66-C1c,0.10569273404307822,TC
TN15-C1/C66-C1c,0.12365880411831753,TN
TG63-C1/C66-C1c,0.13240049366369533,TG
TG48-C1/C66-C1c,0.134534277069287,TG
TG49-C1/C66-C1c,0.1352781422014484,TG
TS15-C66,0.10855558492897543,TS
TS20-C66,0.10855558492897721,TS
TS16-C66,0.10855558492897721,TS
TC11-C66,0.09319999655354216,TC
TC12-C66,0.09459761758678553,TC
TC09-C66,0.09414707583710502,TC
TG62-C66,0.12932545535365492,TG
TG47-C66,0.13375148111897417,TG
TC13-C91,0.08751823017488114,TC
TM25-1488,0.05004683521462372,TM
