SampleID,Species
TM24,Tridacna maxima
HH06,Hippopus hippopus
HH12,Hippopus hippopus
TS24,Tridacna squamosa
TS25,Tridacna squamosa
TS22,Tridacna squamosa
TS23,Tridacna squamosa
TS21,Tridacna squamosa
HH09,Hippopus hippopus
TN11,Tridacna noae
TS26,Tridacna squamosa
TN06,Tridacna noae
TC13,Tridacna crocea
TC06,Tridacna crocea
TC19,Tridacna crocea
TM12,Tridacna maxima
TM23,Tridacna maxima
TC14,Tridacna crocea
TC17,Tridacna crocea
TM28,Tridacna maxima
TM02,Tridacna maxima
TM26,Tridacna maxima
TM27,Tridacna maxima
TM05,Tridacna maxima
TN12,Tridacna noae
TS09,Tridacna squamosa
TN16,Tridacna noae
TS13,Tridacna squamosa
TN09,Tridacna noae
TN17,Tridacna noae
TS10,Tridacna squamosa
TN15,Tridacna noae
HH13,Hippopus hippopus
TS29,Tridacna squamosa
TN10,Tridacna noae
TC08,Tridacna crocea
TC27,Tridacna crocea
HH01,Hippopus hippopus
HP01,Hippopus porcellanus
HP05,Hippopus porcellanus
HP02,Hippopus porcellanus
HH07,Hippopus hippopus
TS30,Tridacna squamosa
TS31,Tridacna squamosa
TG38,Tridacna gigas
TG36,Tridacna gigas
TG46,Tridacna gigas
TG44,Tridacna gigas
TG56,Tridacna gigas
TG52,Tridacna gigas
TG39,Tridacna gigas
TG45,Tridacna gigas
TM21,Tridacna maxima
TM10,Tridacna maxima
TM22,Tridacna maxima
TM20,Tridacna maxima
TG64,Tridacna gigas
TM01,Tridacna maxima
TC22,Tridacna crocea
TG62,Tridacna gigas
TC07,Tridacna crocea
TN05,Tridacna noae
TM06,Tridacna maxima
TS08,Tridacna squamosa
TN14,Tridacna noae
TS32,Tridacna squamosa
TC10,Tridacna crocea
TG58,Tridacna gigas
TG57,Tridacna gigas
TG37,Tridacna gigas
TG40,Tridacna gigas
TG43,Tridacna gigas
TG35,Tridacna gigas
TG55,Tridacna gigas
TG54,Tridacna gigas
HH18,Hippopus hippopus
TG61,Tridacna gigas
HH19,Hippopus hippopus
TG60,Tridacna gigas
HH17,Hippopus hippopus
TG67,Tridacna gigas
TG66,Tridacna gigas
TC24,Tridacna crocea
TD14,Tridacna derasa
TD16,Tridacna derasa
TD11,Tridacna derasa
TS27,Tridacna squamosa
HH16,Hippopus hippopus
HH15,Hippopus hippopus
HH14,Hippopus hippopus
TD18,Tridacna derasa
TD17,Tridacna derasa
TD15,Tridacna derasa
TD13,Tridacna derasa
TM15,Tridacna maxima
TM11,Tridacna maxima
TS28,Tridacna squamosa
TG48,Tridacna gigas
TM19,Tridacna maxima
TG63,Tridacna gigas
TG49,Tridacna gigas
TM17,Tridacna maxima
TM13,Tridacna maxima
TM04,Tridacna maxima
TC29,Tridacna crocea
TC28,Tridacna crocea
TM14,Tridacna maxima
TC21,Tridacna crocea
TG47,Tridacna gigas
TS11,Tridacna squamosa
TS15,Tridacna squamosa
HH03,Hippopus hippopus
HH02,Hippopus hippopus
TG53,Tridacna gigas
TD10,Tridacna derasa
TD12,Tridacna derasa
TG42,Tridacna gigas
TG59,Tridacna gigas
TS17,Tridacna squamosa
TD07,Tridacna derasa
TM16,Tridacna maxima
TN13,Tridacna noae
TN08,Tridacna noae
TN07,Tridacna noae
TC12,Tridacna crocea
TS16,Tridacna squamosa
TC25,Tridacna crocea
TC26,Tridacna crocea
HH11,Hippopus hippopus
TM25,Tridacna maxima
TC15,Tridacna crocea
TM18,Tridacna maxima
HH08,Hippopus hippopus
TS18,Tridacna squamosa
TS20,Tridacna squamosa
TM07,Tridacna maxima
TC18,Tridacna crocea
TC09,Tridacna crocea
TS12,Tridacna squamosa
TM03,Tridacna maxima
TC20,Tridacna crocea
TG51,Tridacna gigas
TS14,Tridacna squamosa
TC23,Tridacna crocea
TC16,Tridacna crocea
TD08,Tridacna derasa
TD09,Tridacna derasa
HH10,Hippopus hippopus
TC11,Tridacna crocea
TS19,Tridacna squamosa
HH05,Hippopus hippopus
HP03,Hippopus porcellanus
HP04,Hippopus porcellanus
TM08,Tridacna maxima
TM09,Tridacna maxima
TS07,Tridacna squamosa
KJ202108.1,Tridacna crocea
JN392066.1,Tridacna crocea
JX974945.1,Tridacna crocea
MN068642.1,Tridacna crocea
JX974957.1,Tridacna derasa
MN068644.1,Tridacna derasa
MN068682.1,Tridacna elongatissima
MN068647.1,Tridacna elongatissima
MN068683.1,Tridacna elongatissima
KJ202113.1,Tridacna gigas
MN068791.1,Tridacna lorenzi
MN068794.1,Tridacna lorenzi
MN068752.1,Tridacna maxima
MN068769.1,Tridacna maxima
HE995481.1,Tridacna maxima
MN068759.1,Tridacna maxima
MN068731.1,Tridacna maxima
KC456021.1,Tridacna maxima
KF446516.1,Tridacna maxima
KU058677.1,Tridacna mbalavuana
KC456023.1,Tridacna noae
KJ202115.1,Tridacna noae
JX974908.1,Tridacna noae
MN068788.1,Tridacna noae
JX974919.1,Tridacna noae
MN068802.1,Tridacna squamosa
HE995488.1,Tridacna squamosa
HE995531.1,Tridacna squamosa
MN068797.1,Tridacna squamosa
KJ202117.1,Tridacna squamosa
JX974925.1,Tridacna squamosa
KC456025.1,Tridacna squamosa
MN068808.1,Tridacna squamosina
MN068809.1,Tridacna squamosina
KJ202105.1,Hippopus hippopus
MN068640.1,Hippopus hippopus
FJ745351.1,Fragum mundum
FJ745350.1,Fragum mundum
FJ745349.1,Fragum mundum
FJ745333.1,Fragum fragum
FJ745332.1,Fragum fragum
FJ745331.1,Fragum fragum
FJ745346.1,Corculum cardissa
FJ745345.1,Corculum cardissa
FJ745344.1,Corculum cardissa
MW278344.1,Fragum mundum
