ITS2TypeProfile,Count,Clade
A3/A6b-A3g-1371_A,858705,A
A3,708521,A
1634_A,128013,A
A3-A6b,106138,A
A3-A6b-A3g,1644,A
C1-C1c-C1b-C1al,2322208,C
C93a-1471_C-1391_C,1060256,C
C93a/C66-1471_C,747668,C
C93a-1375_C,662591,C
C93a,636391,C
C93a-1390_C-1391_C,560155,C
C93a/C66-1385_C,538865,C
C1/C66-C1c,433765,C
C66,334408,C
C93a-1385_C,304345,C
C93a-1388_C-1375_C,299354,C
C93a-1373_C,267676,C
C66/C93a,182062,C
C93a/C1-C1c,80216,C
C1c-C1-C1b,78163,C
C91,28811,C
1488_C,5034,C
D5/D4/1400_D-D9b,1125899,D
D5/D4/D9b-1401_D-1403_D,976407,D
D4/D5-D9b-1401_D-1407_D,500895,D
D1-D4-D4c,319818,D
D5-1423_D-1424_D,203216,D
D4/D5/D9b-1401_D,188591,D
D5-D4-D9b,137990,D
D1-D4-D4c-1372,106988,D
D5,11331,D
D1,1569,D
1510_D,494,D
