SampleID,Species,Region,RawContigs,PostQC
TM24,T. maxima,Samar,144174,116106
HH06,H. hippopus,Antique,122965,83950
HH12,H. hippopus,Camiguin,156877,127372
HH11,H. hippopus,Camiguin,139506,108943
TM03,T. maxima,ARNP,91806,81275
TC06,T. crocea,ARNP,103289,89976
TC19,T. crocea,Bohol,118951,105944
TM12,T. maxima,Calaguas,89648,78603
TM23,T. maxima,Samar,122490,109143
TM21,T. maxima,Camiguin,122790,108373
TM22,T. maxima,Camiguin,129043,114268
TC14,T. crocea,ARNP,148365,133851
TC17,T. crocea,ARNP,182618,167189
TM13,T. maxima,Calaguas,97598,85735
TM04,T. maxima,ARNP,99309,87312
TM28,T. maxima,Antique,89691,79122
TG64,T. gigas,Camiguin,129082,112703
TC29,T. crocea,Alaminos,101489,89844
TM02,T. maxima,ARNP,99048,82367
TM10,T. maxima,Calaguas,84357,74384
TM09,T. maxima,Batangas,85270,74429
TM20,T. maxima,Camiguin,111899,98649
TM01,T. maxima,ARNP,102432,89303
TC28,T. crocea,Alaminos,87738,76767
TC22,T. crocea,Camiguin,118838,102376
TG62,T. gigas,Camiguin,131226,113211
TC07,T. crocea,ARNP,103707,86086
TN05,T. noae,Batangas,108088,94431
TM26,T. maxima,Antique,94212,80301
TM08,T. maxima,Batangas,112705,98025
TS07,T. squamosa,Batangas,95509,82543
TM27,T. maxima,Antique,99538,86248
TM05,T. maxima,ARNP,87937,67503
TS24,T. squamosa,Camiguin,132339,115313
TS25,T. squamosa,Camiguin,120618,105370
TS22,T. squamosa,Bohol,115020,98414
TS23,T. squamosa,Bohol,125751,105946
TS20,T. squamosa,Palawan,99105,82791
TS21,T. squamosa,Bohol,130503,105443
HH09,H. hippopus,Bohol,130990,112364
TS11,T. squamosa,Calaguas,95981,84573
TN11,T. noae,Calaguas,80689,71492
TM07,T. maxima,Batangas,106027,92052
TS26,T. squamosa,Camiguin,130310,115643
TN06,T. noae,Batangas,105659,91205
TS15,T. squamosa,Zambales,109075,95247
TC13,T. crocea,Zambales,92668,80441
HP04,H. porcellanus,ARNP,157849,137302
HH03,H. hippopus,ARNP,136298,116087
HH05,H. hippopus,ARNP,124589,105132
TC30,T. crocea,ARNP,138647,102526
HH20,H. hippopus,ARNP,133280,103875
TM25,T. maxima,Samar,134854,105201
HH02,H. hippopus,ARNP,150770,116876
TC15,T. crocea,ARNP,144123,116679
TM16,T. maxima,ARNP,173524,132873
TN12,T. noae,Calaguas,93361,80068
TS09,T. squamosa,Calaguas,106647,92925
TN16,T. noae,Calaguas,105506,93260
TS13,T. squamosa,Calaguas,98921,85836
TN09,T. noae,Calaguas,104907,90067
TN17,T. noae,Calaguas,84268,71549
TS18,T. squamosa,Palawan,102982,87668
TS10,T. squamosa,Calaguas,91482,78754
TN08,T. noae,Calaguas,92905,78610
TN15,T. noae,Calaguas,84814,72274
HH13,H. hippopus,Camiguin,113764,95579
TS29,T. squamosa,Samar,123866,101666
TN10,T. noae,Calaguas,95227,82804
TM06,T. maxima,Batangas,105068,90197
TS08,T. squamosa,Batangas,115303,98823
TN14,T. noae,Calaguas,96877,83504
TS32,T. squamosa,Bolinao,82894,64116
TS35,T. squamosa,Antique,71460,53841
TC08,T. crocea,Zambales,105980,94404
TC27,T. crocea,Alaminos,104562,91438
HH01,H. hippopus,Antique,96506,84583
HP01,H. porcellanus,Antique,102975,89645
HP05,H. porcellanus,Antique,161195,147170
TG51,T. gigas,Antique,97354,84090
