Group 1,Group 2,Q,R2
Ala,Bat,0.405,0.12770315
Ala,Zam,0.464516129,0.331833189
Ala,Pal,0.156521739,0.623869027
Ala,Ant,0.514285714,0.172480907
Ala,Bol,0.464516129,0.288596851
Ala,Boh,0.514285714,0.052388199
Ala,Cam,0.156521739,0.333076476
Ala,Sam,0.156521739,0.43632806
Bat,Zam,0.955,0.028815907
Bat,Pal,0.156521739,0.427839773
Bat,Ant,0.3672,0.18628443
Bat,Bol,0.514285714,0.122991482
Bat,Boh,0.3672,0.126684057
Bat,Cam,0.156521739,0.278089693
Bat,Sam,0.156521739,0.396662382
Zam,Pal,0.156521739,0.620181556
Zam,Ant,0.156521739,0.528411104
Zam,Bol,0.156521739,0.540413906
Zam,Boh,0.4,0.402489914
Zam,Cam,0.156521739,0.334126585
Zam,Sam,0.156521739,0.838733476
Pal,Ant,0.156521739,0.713614882
Pal,Bol,0.156521739,0.561449612
Pal,Boh,0.156521739,0.618260691
Pal,Cam,0.48825,0.103282354
Pal,Sam,0.156521739,0.74216311
Ant,Bol,0.156521739,0.693590614
Ant,Boh,0.464516129,0.207426086
Ant,Cam,0.156521739,0.408937678
Ant,Sam,0.156521739,0.704098843
Bol,Boh,0.4,0.339582791
Bol,Cam,0.156521739,0.262724795
Bol,Sam,0.156521739,0.783173118
Boh,Cam,0.156521739,0.336556543
Boh,Sam,0.156521739,0.409401143
Cam,Sam,0.156521739,0.445432293
Bat,Ala,0.405,0.12770315
Zam,Ala,0.464516129,0.331833189
Pal,Ala,0.156521739,0.623869027
Ant,Ala,0.514285714,0.172480907
Bol,Ala,0.464516129,0.288596851
Boh,Ala,0.514285714,0.052388199
Cam,Ala,0.156521739,0.333076476
Sam,Ala,0.156521739,0.43632806
Zam,Bat,0.955,0.028815907
Pal,Bat,0.156521739,0.427839773
Ant,Bat,0.3672,0.18628443
Bol,Bat,0.514285714,0.122991482
Boh,Bat,0.3672,0.126684057
Cam,Bat,0.156521739,0.278089693
Sam,Bat,0.156521739,0.396662382
Pal,Zam,0.156521739,0.620181556
Ant,Zam,0.156521739,0.528411104
Bol,Zam,0.156521739,0.540413906
Boh,Zam,0.4,0.402489914
Cam,Zam,0.156521739,0.334126585
Sam,Zam,0.156521739,0.838733476
Ant,Pal,0.156521739,0.713614882
Bol,Pal,0.156521739,0.561449612
Boh,Pal,0.156521739,0.618260691
Cam,Pal,0.48825,0.103282354
Sam,Pal,0.156521739,0.74216311
Bol,Ant,0.156521739,0.693590614
Boh,Ant,0.464516129,0.207426086
Cam,Ant,0.156521739,0.408937678
Sam,Ant,0.156521739,0.704098843
Boh,Bol,0.4,0.339582791
Cam,Bol,0.156521739,0.262724795
Sam,Bol,0.156521739,0.783173118
Cam,Boh,0.156521739,0.336556543
Sam,Boh,0.156521739,0.409401143
Sam,Cam,0.156521739,0.445432293
