sample_name,NMDS1,NMDS2,corrected_id,species,region,bio_region,thermal_cluster,life_stage
TG35,-0.694894887,-0.370931308,TG35,Tgig,Ala,WPS,E,Adult
TG36,-0.022445242,-0.134939021,TG36,Tgig,Ala,WPS,E,Adult
TG37,-0.77446104,-0.311454715,TG37,Tgig,Ala,WPS,E,Adult
TG38,0.075747087,0.091275671,TG38,Tgig,Bat,WPS,D,Adult
TG39,0.050372088,0.013711159,TG39,Tgig,Bat,WPS,D,Adult
TG40,-0.788530046,-0.294381668,TG40,Tgig,Bat,WPS,D,Adult
TG42,0.62668948,0.673028039,TG42,Tgig,Bat,WPS,D,Adult
TG43,-0.59366525,-0.31490072,TG43,Tgig,Bat,WPS,D,Adult
TG44,-0.143596022,-0.109665393,TG44,Tgig,Zam,WPS,F,Adult
TG45,-0.067628401,-0.008053462,TG45,Tgig,Zam,WPS,F,Adult
TG46,-0.020488519,-0.138341379,TG46,Tgig,Zam,WPS,F,Adult
TG47,0.829086497,0.967791702,TG47,Tgig,Pal,SS,F,Adult
TG48,1.282625498,0.235575562,TG48,Tgig,Pal,SS,F,Adult
TG49,1.479995655,-0.087471748,TG49,Tgig,Pal,SS,F,Adult
TG50,-0.48251491,-0.585786401,TG50,Tgig,Ant,SS,D,Adult
TG51,-0.496498663,-0.503249235,TG51,Tgig,Ant,SS,D,Adult
TG52,-0.154182528,-0.056610506,TG52,Tgig,Ant,SS,D,Adult
TG53,-0.224106396,0.009697852,TG53,Tgig,Bol,WPS,E,Adult
TG54,-0.145137384,0.371346632,TG54,Tgig,Bol,WPS,E,Adult
TG55,-0.16629794,0.547936964,TG55,Tgig,Bol,WPS,E,Adult
TG56,-0.017913019,0.116829496,TG56,Tgig,Boh,VS,D,Adult
TG57,-0.80684386,-0.273747352,TG57,Tgig,Boh,VS,D,Adult
TG58,-0.84058977,-0.27181096,TG58,Tgig,Boh,VS,D,Adult
TG59,0.496019664,0.829218596,TG59,Tgig,Cam,VS,D,Adult
TG60,0.007526042,0.779283068,TG60,Tgig,Cam,VS,D,Adult
TG61,-0.032622578,0.656400388,TG61,Tgig,Cam,VS,D,Adult
TG62,1.64272761,-0.678118361,TG62,Tgig,Cam,VS,D,Juvenile
TG63,1.555935101,-0.515626812,TG63,Tgig,Cam,VS,D,Juvenile
TG64,1.725300819,-0.835344872,TG64,Tgig,Cam,VS,D,Juvenile
TG65,-1.124046036,0.236291445,TG65,Tgig,Sam,SPS,E,Adult
TG66,-1.076171518,-0.016758137,TG66,Tgig,Sam,SPS,E,Adult
TG67,-1.099391532,-0.021194524,TG67,Tgig,Sam,SPS,E,Adult
