sampleID	SequencingBatch	Sequencing run	fastq_fwd_file_name	fastq_rev_file_name	Site	Region	Latitude	Longitude	ApproximateShellLength	Age	CohortYear	TransplantationYear	TransplantationAge	YearsSpentAtTransplantationSite	AdditionalSiteInfo	AdditionalComments
HH01	Y2	HN00122531	SEM-Hh-1_1.fastq.gz	SEM-Hh-1_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
HH02	Y2	HN00125113	APO-B-Hh-1_1.fastq.gz	APO-B-Hh-1_2.fastq.gz	Binanggaan	ARNP	12.6618	120.4357333								
HH03	Y2	HN00125113	APO-B-Hh-4_1.fastq.gz	APO-B-Hh-4_2.fastq.gz	Binanggaan	ARNP	12.6618	120.4357333								
HH05	Y2	HN00125113	APO-B-Hp-4_1.fastq.gz	APO-B-Hp-4_2.fastq.gz	Binanggaan	ARNP	12.6618	120.4357333								
HH06	Y2	HN00125113	SEM-Hh-2_1.fastq.gz	SEM-Hh-2_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
HH07	Y2	HN00125113	SEM-Hh-4_1.fastq.gz	SEM-Hh-4_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
HH08	Y3	HN00138609	Bohol_Hh_1_1.fastq.gz	Bohol_Hh_1_2.fastq.gz	Bohol	Bohol	9.6287333	123.8048167								
HH09	Y3	HN00138609	Bohol_Hh_2_1.fastq.gz	Bohol_Hh_2_2.fastq.gz	Bohol	Bohol	9.6287333	123.8048167								
HH10	Y3	HN00138609	Bohol_Hh_3_1.fastq.gz	Bohol_Hh_3_2.fastq.gz	Bohol	Bohol	9.6287333	123.8048167								
HH11	Y3	HN00138609	Camiguin_Hh_1_1.fastq.gz	Camiguin_Hh_1_2.fastq.gz	Camiguin	Camiguin	9.107413439	124.8032036								
HH12	Y3	HN00138609	Camiguin_Hh_2_1.fastq.gz	Camiguin_Hh_2_2.fastq.gz	Camiguin	Camiguin	9.107413439	124.8032036								
HH13	Y3	HN00138609	Camiguin_Hh_3_1.fastq.gz	Camiguin_Hh_3_2.fastq.gz	Camiguin	Camiguin	9.107413439	124.8032036								
HH14	Y3	HN00138609	Samar_Hh_1_1.fastq.gz	Samar_Hh_1_2.fastq.gz	Guiuan	Samar	11.0583	125.6537								
HH15	Y3	HN00138609	Samar_Hh_3_1.fastq.gz	Samar_Hh_3_2.fastq.gz	Guiuan	Samar	11.0583	125.6537								
HH16	Y3	HN00138609	Samar_Hh_4_1.fastq.gz	Samar_Hh_4_2.fastq.gz	Guiuan	Samar	11.0583	125.6537								
HH17	Y3	HN00147512	SIL_Hh_1_1.fastq.gz	SIL_Hh_1_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333								
